 UNKNOWN: 0, SYSTEMCALL: 0, USERMODE: 0, BLOCKED_IO: 0, BLOCKED_CPU: 0, BLOCKED_WAITKERNEL: 0,BLOCKED_WAITPROCESS: 0, BLOCKED_FOR_FUTEX: 0, BLOCKED_CPU_FUTEX: 0, TRASH: 0
0,1378767,19832156,0,82438183,0,27128065,0,0,0
0,1497693,20656347,0,176494043,0,35482302,0,0,0
0,1546186,21222297,0,94363520,0,19191736,0,0,0
0,1388269,19922692,0,114722463,0,21969834,0,0,0
0,1263171,20248793,0,95427205,0,16107523,0,0,0
0,1353909,18611442,0,28987696,0,29563583,0,0,0
0,1392341,19370041,0,79584838,0,29322974,0,0,0
0,1748988,22754814,0,130532271,0,21192250,0,0,0
0,1462694,20889285,0,101175169,0,21161441,0,0,0
0,1546606,19947950,0,30699552,0,71777236,0,0,0
0,1399731,20877585,0,116306390,0,14610090,0,0,0
0,1455010,21460359,0,87215150,0,24690760,0,0,0
0,1382790,20041865,0,94279710,0,17812543,0,0,0
0,1334770,20122657,0,110914485,0,15088644,0,0,0
0,1337391,20531372,0,120290616,0,13328946,0,0,0
0,1337096,19294659,0,73914231,0,11463067,0,0,0
0,1458082,20060632,0,10139284,0,18161392,0,0,0
0,1460006,19630515,0,50252045,0,28010578,0,0,0
0,1441000,19661426,0,18097262,0,50153899,0,0,0
0,1309817,19717278,0,103516877,0,12807858,0,0,0
0,1403037,20638430,0,66528764,0,23929597,0,0,0
0,1314408,19611667,0,141026585,0,21376766,0,0,0
0,1379828,22212228,0,121946655,0,24899945,0,0,0
0,1356470,20455583,0,67045579,0,23833092,0,0,0
0,1471302,21121090,0,70985394,0,12073237,0,0,0
0,2253111,22817355,0,115107367,0,28417295,0,0,0
0,1319179,19142637,0,36092146,0,44250765,0,0,0
0,1540025,19228342,0,39839765,0,36285211,0,0,0
0,1347747,21568661,0,147697285,0,31622534,0,0,0
0,1545586,22188175,0,94926561,0,19176758,0,0,0
0,1408936,20806324,0,58513442,0,18186834,0,0,0
0,1473838,21861033,0,148144254,0,14279608,0,0,0
0,1239212,20139096,0,51622245,0,20926499,0,0,0
0,1425650,19663391,0,67064896,0,27279138,0,0,0
0,1497316,21485349,0,54866586,0,22506891,0,0,0
0,1321757,18825222,0,60017125,0,19659362,0,0,0
0,1392618,21037342,0,71623046,0,15080092,0,0,0
0,1491533,23249147,0,69353228,0,30126952,0,0,0
0,1477763,21883860,0,180038731,0,23341104,0,0,0
0,1367098,19763774,0,46119834,0,9819711,0,0,0
0,1236526,19313146,0,83696529,0,31992328,0,0,0
0,1388625,20319791,0,100170747,0,10908355,0,0,0
0,2037651,20327286,0,59308387,0,17394626,0,0,0
0,1343557,19619252,0,31776821,0,18624884,0,0,0
0,1298906,19974133,0,78449796,0,7418177,0,0,0
0,1356679,21494308,0,127539260,0,21968291,0,0,0
0,1455405,20045576,0,36611639,0,32669668,0,0,0
0,1434206,20179156,0,98463174,0,16466326,0,0,0
0,1315661,20386968,0,83983444,0,14666316,0,0,0
0,1436015,20067429,0,122258794,0,20238808,0,0,0
0,1498096,20759787,0,24720937,0,42326693,0,0,0
0,1445088,19198687,0,45302198,0,37671461,0,0,0
0,1299524,18534884,0,29210638,0,37344007,0,0,0
0,1581676,21469801,0,91691587,0,64094475,0,0,0
0,1444705,20024567,0,133711665,0,21450173,0,0,0
0,1312620,20217721,0,84189884,0,12361810,0,0,0
0,1262068,18891793,0,101376661,0,17193316,0,0,0
0,1413854,19768190,0,72494619,0,25336996,0,0,0
0,1384539,20241189,0,145354550,0,13030629,0,0,0
0,1400698,21268434,0,116011794,0,26754579,0,0,0
0,1425072,21894336,0,82601618,0,25995146,0,0,0
0,1496921,21062124,0,100469706,0,16925075,0,0,0
0,1411236,20935189,0,79955688,0,25808722,0,0,0
0,1253340,19135483,0,105024123,0,6077050,0,0,0
0,1606107,22266266,0,94809295,0,19190680,0,0,0
0,1371791,20019394,0,92101829,0,14231668,0,0,0
0,1427660,21044093,0,89280882,0,26649618,0,0,0
0,1328824,20590329,0,36091757,0,22429932,0,0,0
0,1393955,19077279,0,67440798,0,21934455,0,0,0
0,1359685,20204218,0,72701468,0,6310497,0,0,0
0,1324509,21443220,0,43013811,0,14818361,0,0,0
0,1426245,21123918,0,31659769,0,13366485,0,0,0
0,1339125,18565381,0,72648227,0,72910318,0,0,0
0,1459966,20866271,0,113070794,50555,30175629,0,0,0
0,1497042,21434482,0,146221490,0,18710719,0,0,0
0,1265306,20042025,0,88187351,0,10388111,0,0,0
0,1376834,19949153,0,121444447,0,13213572,0,0,0
0,1252551,19226998,0,143901859,0,16022718,0,0,0
0,1518961,21068155,0,79807303,0,34210507,0,0,0
0,1313531,20957378,0,71813353,0,41414830,0,0,0
0,1452799,20984519,0,143200155,0,47261319,0,0,0
0,1465384,20680436,0,51466217,0,31936740,0,0,0
0,1748754,21828772,0,126541951,0,24900586,0,0,0
0,1365426,20141590,0,70688454,0,16645938,0,0,0
0,1411078,19896072,0,91622113,0,31131451,0,0,0
0,1503835,23369971,0,110670553,0,37153488,0,0,0
0,1467466,22005073,0,68544520,0,23669336,0,0,0
0,1659269,21154109,0,86810680,0,19997370,0,0,0
0,1398667,20334157,0,49771850,0,24979790,0,0,0
0,1410138,19380632,0,113186959,0,20831299,0,0,0
0,1441041,21384760,0,66304774,0,23198930,0,0,0
0,1245663,18531572,0,80222388,0,14834385,0,0,0
0,1220376,18915641,0,150580130,0,20770338,0,0,0
0,1307066,19922950,0,102750466,0,27762691,0,0,0
0,1432879,20954726,0,90204921,0,35086452,0,0,0
0,1287505,18501200,0,46303305,0,37293029,0,0,0
0,1490200,20170731,0,33281949,0,56889228,0,0,0
0,1267637,17577911,0,50038249,0,35757422,0,0,0
0,1594596,21394082,0,127880500,0,17909002,0,0,0
0,1193062,18154260,0,106306072,0,19932244,0,0,0
0,1205392,18564836,0,124554833,0,15775886,0,0,0
0,1313120,19560289,0,134085961,0,11192557,0,0,0
0,1365093,18789129,0,62116660,0,32745851,0,0,0
0,1494611,20086824,0,91719937,0,26244057,0,0,0
0,1325118,20576801,0,144719842,0,24817702,0,0,0
0,1261849,20748459,0,94140718,0,8559477,0,0,0
0,1207431,18927128,0,117297753,0,4456942,0,0,0
0,1190528,18625001,0,20992352,0,20601256,0,0,0
